Name,YT Scope Project,
File,C:\Users\nrw\plcprojs\Scope\Data\MONO.csv,
Starttime of export,133409167115080000,Wednesday, October 4, 2023,11:11:51.508
Endtime of export,133409167358440000,Wednesday, October 4, 2023,11:12:15.844


Name,Axes.g_pi.PosDiff,Name,Axes.m_pi.PosDiff
SymbolComment,,SymbolComment,
Data-Type,REAL64,Data-Type,REAL64
SampleTime[ms],2,SampleTime[ms],2
VariableSize,8,VariableSize,8
SymbolBased,True,SymbolBased,True
IndexGroup,16647,IndexGroup,16646
IndexOffset,131087,IndexOffset,131087
SymbolName,Axes.g_pi.PosDiff,SymbolName,Axes.m_pi.PosDiff
NetID,172.21.140.71.1.1,NetID,172.21.140.71.1.1
Port,501,Port,501
Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0

118,0.0015665101818740368,118,-0.0020635648688767105
120,0.00075255506089888513,120,-0.004315968049922958
122,-0.000542914611287415,122,-0.0067731527669820935
124,-0.0017885585257317871,124,-0.0032733206753619015
126,-0.000678600772516802,126,-0.0017298369784839451
128,0.00038866631803102791,128,8.287548553198576E-05
130,-0.000892807642230764,130,-0.0011360222997609526
132,0.0019775699765887111,132,-0.0055204748059622943
134,0.0019170356390532106,134,0.00032275018747895956
136,0.0021152397675905377,136,0.0064538638107478619
138,0.0041006924875546247,138,0.0067035125684924424
140,0.004727730352897197,140,0.00611137505620718
142,0.0030229590774979442,142,0.0068017045850865543
144,0.0026658072019927204,144,0.004972004157025367
146,0.00052752014016732574,146,0.0024895492242649198
148,-0.00050288409693166614,148,0.0035091356548946351
150,0.0010704451706260443,150,0.0015692142478656024
152,0.0036089027998968959,152,0.0014438311336562038
154,0.0034856248821597546,154,-0.00030833532218821347
156,-0.0004790654347743839,156,0.0013751497026532888
158,0.0021189887484069914,158,0.0033151360985357314
160,0.0030786562419962138,160,0.0042596691928338259
162,0.0014373108861036599,162,-0.0014343916263896972
164,0.0013975557230878621,164,-0.0057917196536436677
166,-0.00017913192277774215,166,-0.0044288360513746738
168,-0.00066953673376701772,168,0.00049605814274400473
170,-0.0024231310817413032,170,0.0033350528683513403
172,-0.00257081794552505,172,-0.00022722466383129358
174,0.002158970310119912,174,0.0039061593997757882
176,0.0069632538943551481,176,0.0031587812700308859
178,0.0056853214337024838,178,0.0041175284131895751
180,0.0013796171406283975,180,0.00048411672469228506
182,0.00031643995316699147,182,-0.0028189847944304347
184,0.0021146670042071491,184,-0.000907258887309581
186,0.00025398787693120539,186,-0.0032647807965986431
188,0.0038494887412525713,188,-0.0045888916356489062
190,0.0055118293093983084,190,-0.0012876287510152906
192,0.0089051054965239018,192,0.0017135193338617683
194,0.0090909479768015444,194,0.0028036539442837238
196,0.0092696426727343351,196,0.00010877632303163409
198,0.0076465926831588149,198,-0.0056174760684370995
200,0.0060859677032567561,200,-0.0030417964153457433
202,0.0058674180472735316,202,-0.005205269466387108
204,0.00052906901692040265,204,-0.0051243358757346869
206,-0.00050139479571953416,206,-0.003822123515419662
208,-0.000979404867393896,208,-0.00304783956380561
210,0.0024071239167824388,210,-0.00029621779685840011
212,0.0025864785129670054,212,-0.0027092889067716897
214,0.0025025246141012758,214,-0.0032648080959916115
216,0.0024217996979132295,216,-0.0054080073605291545
218,0.0010621282854117453,218,-0.005718188505852595
